,CVE ID,CVE Score,CVE Version,Published Date,URL
0,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
1,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
2,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
3,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
4,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
5,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
6,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
7,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
8,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
9,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
10,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
11,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
12,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
13,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
14,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
15,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
16,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
17,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
18,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
19,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
20,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
21,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
22,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
23,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
24,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
25,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
26,CVE-2021-40466,7.8,V3,2021-10-13T01:15Z,https://nvd.nist.gov/vuln/detail/CVE-2021-40466
